time (ps),RMSD to cluster 1 (nm)
11140.0,0.497
11150.0,0.49
11160.0,0.4876
11170.0,0.4956
11180.0,0.4933
11190.0,0.5002
11200.0,0.5502
11210.0,0.54
11220.0,0.5634
11230.0,0.5578
11240.0,0.8064
11250.0,0.7889
11260.0,0.7796
11270.0,0.5626
11280.0,0.5488
11290.0,0.5041
11300.0,0.5048
11310.0,0.5226
11320.0,0.5453
11330.0,0.5107
11340.0,0.502
11350.0,0.5173
11360.0,0.5338
11370.0,0.5266
11380.0,0.5383
11390.0,0.5545
11400.0,0.5532
11410.0,0.5552
11420.0,0.5609
11430.0,0.559
11440.0,1.5443
11450.0,1.5299
11460.0,1.5599
11470.0,1.4814
11480.0,1.5259
11490.0,1.5572
11500.0,1.5231
11510.0,1.5276
11520.0,1.4076
11530.0,1.5192
11540.0,1.4987
11550.0,1.4838
11560.0,1.4807
11570.0,1.4829
11580.0,1.5129
11590.0,1.5037
11600.0,1.5037
11610.0,1.4772
11620.0,1.5959
11630.0,1.6267
11640.0,1.6496
11650.0,1.6089
11660.0,1.6167
11670.0,1.6025
11680.0,1.4547
11690.0,1.4503
11700.0,1.5648
11710.0,1.6009
11720.0,1.6055
11730.0,1.4413
11740.0,1.4729
11750.0,1.4794
11760.0,1.0624
11770.0,1.0492
11780.0,1.0315
11790.0,1.0604
11800.0,1.5354
11810.0,1.5638
11820.0,1.5293
11830.0,1.4996
11840.0,1.5163
11850.0,1.5542
11860.0,0.4761
11870.0,0.4597
11880.0,0.5612
11890.0,0.588
11900.0,0.5744
11910.0,0.5683
11920.0,1.3739
11930.0,1.3646
11940.0,0.561
11950.0,1.3891
11960.0,1.3756
11970.0,1.3848
11980.0,1.3809
11990.0,1.353
12000.0,0.6379
12010.0,0.6479
12020.0,0.6434
12030.0,1.3528
12040.0,1.3937
12050.0,1.4309
12060.0,1.4518
12070.0,0.5794
12080.0,0.5989
12090.0,0.585
12100.0,0.6033
12110.0,1.3799
12120.0,1.3777
12130.0,1.3472
12140.0,1.3807
12150.0,1.3702
12160.0,0.5746
12170.0,0.6162
12180.0,0.5783
12190.0,0.5797
12200.0,0.5654
12210.0,0.6166
12220.0,1.3975
12230.0,1.4362
12240.0,1.4411
12250.0,1.2789
12260.0,1.2736
12270.0,1.2985
12280.0,1.3006
12290.0,1.2864
12300.0,0.416
12310.0,0.3994
12320.0,0.399
12330.0,1.2643
12340.0,1.2229
12350.0,1.2226
12360.0,1.2761
12370.0,1.3076
12380.0,0.3979
12390.0,0.4137
12400.0,1.3005
12410.0,0.6572
12420.0,0.648
12430.0,0.6289
12440.0,0.6311
12450.0,0.6453
12460.0,0.4076
12470.0,0.4067
12480.0,0.4086
12490.0,0.4052
12500.0,0.402
12510.0,0.6276
12520.0,0.6622
12530.0,0.6625
12540.0,0.3715
12550.0,0.3653
12560.0,0.3287
12570.0,0.6327
12580.0,0.6446
12590.0,0.6485
12600.0,1.3804
12610.0,0.6464
12620.0,0.6474
12630.0,1.5383
12640.0,0.6498
12650.0,0.6477
12660.0,0.6416
12670.0,0.646
12680.0,0.3985
12690.0,0.6621
12700.0,0.6584
12710.0,1.1306
12720.0,1.1416
12730.0,0.6512
12740.0,0.6568
12750.0,1.0423
12760.0,1.0256
12770.0,1.0686
12780.0,1.068
12790.0,0.9895
12800.0,1.0162
12810.0,0.4175
12820.0,0.6646
12830.0,0.6752
12840.0,0.6675
12850.0,0.6752
12860.0,0.652
12870.0,1.1037
12880.0,1.0485
12890.0,0.6582
12900.0,1.0148
12910.0,0.9964
12920.0,1.0359
12930.0,1.3778
12940.0,0.9937
12950.0,1.0019
12960.0,1.0101
12970.0,1.0151
12980.0,0.6646
12990.0,0.531
13000.0,0.5347
13010.0,0.534
13020.0,0.3857
13030.0,0.3902
13040.0,0.4169
13050.0,0.5261
13060.0,0.4026
13070.0,0.4199
13080.0,0.7045
13090.0,0.7064
13100.0,0.7093
13110.0,0.6905
13120.0,0.6856
13130.0,0.4245
13140.0,0.4169
13150.0,1.1073
13160.0,1.0693
13170.0,1.0527
13180.0,1.0481
13190.0,1.0846
13200.0,1.0988
13210.0,1.069
13220.0,1.1276
13230.0,1.1661
13240.0,1.1422
13250.0,1.1927
13260.0,1.1377
13270.0,1.1631
13280.0,1.1683
13290.0,1.1888
13300.0,0.502
13310.0,0.4856
13320.0,0.5337
