time (ps),RMSD to cluster 1 (nm)
8580.0,0.8348
8590.0,0.8436
8600.0,0.8479
8610.0,0.8438
8620.0,0.7931
8630.0,0.769
8640.0,0.4926
8650.0,0.8504
8660.0,0.8437
8670.0,0.8311
8680.0,0.5058
8690.0,0.531
8700.0,0.5388
8710.0,0.8254
8720.0,0.7796
8730.0,0.7761
8740.0,0.5485
8750.0,0.7981
8760.0,0.5391
8770.0,1.0475
8780.0,1.0397
8790.0,0.5002
8800.0,0.4932
8810.0,0.519
8820.0,0.528
8830.0,0.5364
8840.0,0.5491
8850.0,1.0969
8860.0,1.076
8870.0,1.0391
8880.0,1.0322
8890.0,1.0049
8900.0,1.0076
8910.0,0.8077
8920.0,0.9818
8930.0,0.7893
8940.0,0.9644
8950.0,0.9623
8960.0,0.9254
8970.0,0.958
8980.0,0.6874
8990.0,0.6949
9000.0,0.6536
9010.0,0.6452
9020.0,0.6209
9030.0,0.572
9040.0,0.59
9050.0,0.582
9060.0,0.5894
9070.0,0.6037
9080.0,0.9528
9090.0,0.5763
9100.0,1.1201
9110.0,1.0619
9120.0,1.0534
9130.0,0.9952
9140.0,1.0428
9150.0,1.0504
9160.0,0.9288
9170.0,0.7934
9180.0,0.778
9190.0,0.8062
9200.0,0.7985
9210.0,0.8807
9220.0,1.0242
9230.0,1.0449
9240.0,0.9189
9250.0,0.9317
9260.0,0.9305
9270.0,1.0559
9280.0,0.9179
9290.0,0.6473
9300.0,0.9371
9310.0,0.9322
9320.0,0.9613
9330.0,0.952
9340.0,1.1116
9350.0,0.9423
9360.0,1.0959
9370.0,1.1079
9380.0,0.5675
9390.0,0.581
9400.0,0.5522
9410.0,0.5297
9420.0,0.527
9430.0,0.92
9440.0,0.8994
9450.0,0.9233
9460.0,0.9261
9470.0,0.5706
9480.0,0.5535
9490.0,0.5696
9500.0,0.5712
9510.0,0.8049
9520.0,0.7849
9530.0,1.1155
9540.0,1.1243
9550.0,0.5736
9560.0,1.1526
9570.0,1.0827
9580.0,1.0799
9590.0,1.0693
9600.0,1.0976
9610.0,0.7398
9620.0,0.7308
9630.0,0.6635
9640.0,0.6954
9650.0,0.7319
9660.0,0.6205
9670.0,1.0515
9680.0,1.0021
9690.0,0.8058
9700.0,0.7282
9710.0,0.731
9720.0,0.7281
9730.0,1.1378
9740.0,0.7399
9750.0,0.7354
9760.0,0.7347
9770.0,0.7331
9780.0,1.1618
9790.0,1.1792
9800.0,1.2159
9810.0,1.2393
9820.0,0.7493
9830.0,0.9651
9840.0,0.5674
9850.0,0.5754
9860.0,0.5555
9870.0,0.5531
9880.0,0.7763
9890.0,0.7846
9900.0,0.7635
9910.0,0.7735
9920.0,0.7969
9930.0,0.5401
9940.0,0.774
9950.0,0.7774
9960.0,0.7797
9970.0,0.7863
9980.0,0.7752
9990.0,0.7571
10000.0,0.7604
10010.0,0.7855
10020.0,0.7581
10030.0,0.7686
10040.0,0.8009
10050.0,1.0184
10060.0,0.7082
10070.0,0.6914
10080.0,1.0303
10090.0,1.0565
10100.0,1.0356
10110.0,0.9699
10120.0,0.9623
10130.0,0.9488
10140.0,0.9836
10150.0,0.9782
10160.0,0.9995
10170.0,0.9969
10180.0,0.9622
10190.0,0.9815
10200.0,0.9272
10210.0,0.9468
10220.0,0.9397
10230.0,0.9481
10240.0,0.9435
10250.0,0.8185
10260.0,0.9406
10270.0,0.9219
10280.0,0.9372
10290.0,0.7979
10300.0,0.9543
10310.0,0.9903
10320.0,0.7997
10330.0,0.8056
10340.0,0.8058
10350.0,0.7864
10360.0,0.5038
10370.0,0.507
10380.0,0.5057
10390.0,0.909
10400.0,0.9138
10410.0,0.8907
10420.0,0.918
10430.0,1.0284
10440.0,0.8836
10450.0,0.9704
10460.0,0.9956
10470.0,0.9793
10480.0,0.9692
10490.0,0.9946
10500.0,1.0051
10510.0,1.0271
10520.0,1.0463
10530.0,0.9853
10540.0,0.4639
10550.0,0.9782
10560.0,0.8393
10570.0,0.8559
10580.0,0.7148
10590.0,0.7321
10600.0,0.8392
10610.0,0.8401
10620.0,0.7231
10630.0,0.9434
10640.0,0.998
10650.0,0.9711
10660.0,0.9226
10670.0,0.9298
10680.0,1.0095
10690.0,0.9379
10700.0,0.9454
10710.0,0.9679
10720.0,0.5643
10730.0,0.8316
10740.0,0.8501
10750.0,0.8255
10760.0,1.0457
10770.0,1.0381
10780.0,1.0641
10790.0,1.0374
10800.0,1.0948
10810.0,1.0872
10820.0,1.0663
10830.0,0.8123
10840.0,1.0205
10850.0,0.7886
10860.0,0.7977
10870.0,0.8271
10880.0,1.1109
10890.0,0.6831
10900.0,0.7416
10910.0,1.1134
10920.0,1.0996
10930.0,0.7342
10940.0,0.7468
10950.0,0.7445
10960.0,1.1134
10970.0,1.0961
10980.0,0.6948
10990.0,0.7207
11000.0,0.7263
11010.0,0.7507
11020.0,0.7199
11030.0,0.6811
11040.0,0.7108
11050.0,0.6887
11060.0,0.6897
11070.0,1.0838
11080.0,1.1247
11090.0,0.8263
11100.0,1.1576
11110.0,1.1561
11120.0,1.1424
11130.0,1.1633
11140.0,1.1643
11150.0,1.2113
11160.0,0.7689
11170.0,0.7309
11180.0,0.7465
11190.0,0.7336
11200.0,0.6837
11210.0,0.6777
11220.0,0.6925
11230.0,0.6586
11240.0,0.744
11250.0,0.6568
11260.0,0.6709
11270.0,0.6748
11280.0,0.7221
11290.0,0.7711
11300.0,0.7557
11310.0,0.7654
11320.0,0.5553
11330.0,0.5347
11340.0,0.5461
11350.0,0.551
11360.0,0.7655
11370.0,0.5425
11380.0,0.532
11390.0,0.5318
11400.0,0.5374
11410.0,0.5318
11420.0,0.7699
11430.0,0.7731
11440.0,0.5652
11450.0,0.7471
11460.0,0.6994
11470.0,0.5858
11480.0,0.5952
11490.0,0.6007
11500.0,0.7154
11510.0,0.7155
11520.0,0.8799
11530.0,0.6578
11540.0,0.6516
11550.0,0.7192
11560.0,0.7376
11570.0,0.752
11580.0,0.7854
11590.0,0.7781
11600.0,0.7864
11610.0,0.7742
11620.0,0.7855
11630.0,0.7819
11640.0,0.7397
11650.0,0.7656
11660.0,0.7091
11670.0,0.7118
11680.0,0.7385
11690.0,0.7438
11700.0,0.7495
11710.0,0.7532
11720.0,0.7276
11730.0,0.7264
11740.0,0.7626
11750.0,0.6884
11760.0,0.756
11770.0,0.7652
11780.0,0.69
11790.0,0.7
11800.0,0.6883
11810.0,0.7481
11820.0,0.7254
11830.0,0.7274
11840.0,0.7507
11850.0,0.6993
11860.0,0.702
11870.0,0.7588
11880.0,0.7424
11890.0,0.7609
11900.0,0.5723
11910.0,0.7096
11920.0,0.6996
11930.0,0.6925
11940.0,0.7168
11950.0,0.7319
11960.0,0.7286
11970.0,0.7332
11980.0,0.73
11990.0,0.7267
12000.0,0.7382
12010.0,0.7235
12020.0,0.7605
12030.0,0.8997
12040.0,0.743
12050.0,0.7113
12060.0,0.703
12070.0,0.7281
12080.0,0.7263
12090.0,0.8364
12100.0,0.8323
12110.0,0.821
12120.0,0.6799
12130.0,0.6893
12140.0,0.6884
12150.0,0.6613
12160.0,0.6824
12170.0,0.6887
12180.0,0.6951
12190.0,0.6767
12200.0,0.6966
12210.0,0.6828
12220.0,0.6826
12230.0,0.7011
12240.0,0.647
12250.0,0.649
12260.0,0.6892
12270.0,0.5102
12280.0,0.5215
12290.0,0.5077
12300.0,0.4981
12310.0,0.753
12320.0,0.7107
12330.0,0.6845
12340.0,0.6609
12350.0,0.6341
12360.0,0.6035
12370.0,0.8003
12380.0,0.8163
12390.0,0.833
12400.0,0.8391
12410.0,0.8457
12420.0,0.842
12430.0,0.4762
12440.0,0.8454
12450.0,0.4795
12460.0,0.4742
12470.0,0.4808
12480.0,0.9962
12490.0,1.0023
12500.0,0.9741
12510.0,0.7994
12520.0,0.7169
12530.0,0.9759
12540.0,0.782
12550.0,0.6469
12560.0,0.7579
12570.0,0.7555
12580.0,0.6815
12590.0,0.6803
12600.0,0.6788
12610.0,0.6772
12620.0,0.6963
12630.0,0.6645
12640.0,0.8615
12650.0,0.8414
12660.0,0.9282
12670.0,0.9269
12680.0,0.9313
12690.0,0.9432
12700.0,0.8366
12710.0,0.8496
12720.0,0.9142
12730.0,0.932
12740.0,0.9309
12750.0,0.8326
12760.0,0.8504
12770.0,0.8421
12780.0,0.8122
12790.0,0.8622
12800.0,0.9364
12810.0,0.8477
12820.0,0.7911
12830.0,0.8314
12840.0,0.8193
12850.0,0.8606
12860.0,0.8718
12870.0,0.8715
12880.0,0.8155
12890.0,0.8008
12900.0,0.9248
12910.0,0.8409
12920.0,0.8433
12930.0,0.4981
12940.0,0.7412
12950.0,0.7223
12960.0,0.7277
12970.0,0.7246
12980.0,0.8465
12990.0,0.8591
13000.0,0.8868
13010.0,0.8656
13020.0,0.8645
13030.0,0.8269
13040.0,0.829
13050.0,0.8318
13060.0,0.8256
13070.0,0.8279
13080.0,0.7186
13090.0,0.8544
13100.0,0.7377
13110.0,0.7929
13120.0,0.8844
13130.0,0.8683
13140.0,0.9156
13150.0,0.8684
13160.0,0.8769
13170.0,0.8721
13180.0,0.8608
13190.0,0.869
13200.0,0.5694
13210.0,0.8667
13220.0,0.5889
13230.0,0.5862
13240.0,0.4966
13250.0,0.5738
13260.0,0.4848
13270.0,0.5706
13280.0,0.593
13290.0,0.6107
13300.0,0.624
13310.0,0.4583
13320.0,0.6212
13330.0,0.6145
13340.0,0.4553
13350.0,0.4472
13360.0,0.4404
13370.0,0.4432
13380.0,0.6303
13390.0,0.6233
13400.0,0.6034
13410.0,0.6213
13420.0,0.8782
13430.0,0.8645
13440.0,0.4969
13450.0,0.4914
13460.0,0.4907
13470.0,0.6426
13480.0,0.6117
13490.0,0.5994
13500.0,0.7267
13510.0,0.5917
13520.0,0.6085
13530.0,0.614
13540.0,0.6271
13550.0,0.6597
13560.0,0.6654
13570.0,0.6592
13580.0,0.671
13590.0,0.6833
13600.0,0.6861
13610.0,0.7132
13620.0,0.7479
13630.0,0.6841
13640.0,0.7599
13650.0,0.7633
13660.0,0.6396
13670.0,0.6268
13680.0,0.445
13690.0,0.4602
13700.0,0.4696
13710.0,0.4598
13720.0,0.4641
13730.0,0.4764
13740.0,0.4834
13750.0,0.4732
13760.0,0.4825
13770.0,0.453
13780.0,0.7392
13790.0,0.4804
13800.0,0.7311
13810.0,0.4997
13820.0,0.5138
13830.0,0.507
13840.0,0.7151
13850.0,0.4827
13860.0,0.4833
13870.0,0.5667
13880.0,0.4649
13890.0,0.4747
13900.0,0.4598
13910.0,0.4571
13920.0,0.5734
13930.0,0.5678
13940.0,0.584
13950.0,0.5564
13960.0,0.5614
13970.0,0.5414
13980.0,0.475
13990.0,0.4681
14000.0,0.4809
14010.0,0.6699
14020.0,0.7192
14030.0,0.5063
14040.0,0.6079
14050.0,0.7217
14060.0,0.6938
14070.0,0.5545
14080.0,0.5562
14090.0,0.7325
14100.0,0.5259
14110.0,0.5327
14120.0,0.632
14130.0,0.6656
14140.0,0.6828
14150.0,0.6688
