time (ps),RMSD to cluster 1 (nm)
7490.0,0.6593
7500.0,0.6537
7510.0,0.7246
7520.0,0.7327
7530.0,0.7397
7540.0,0.7074
7550.0,0.7081
7560.0,0.6637
7570.0,0.5436
7580.0,0.5624
7590.0,0.6348
7600.0,0.6362
7610.0,0.6657
7620.0,0.6325
7630.0,0.6399
7640.0,0.6626
7650.0,0.5699
7660.0,0.5729
7670.0,0.5294
7680.0,0.5298
7690.0,0.5498
7700.0,0.5402
7710.0,0.5627
7720.0,0.6644
7730.0,0.5671
7740.0,1.1373
7750.0,1.1428
7760.0,0.497
7770.0,1.132
7780.0,1.1851
7790.0,0.5367
7800.0,0.5125
7810.0,0.5402
7820.0,0.5467
7830.0,0.5699
7840.0,0.8555
7850.0,0.8612
7860.0,0.5645
7870.0,0.9255
7880.0,0.9327
7890.0,0.9438
7900.0,0.6523
7910.0,0.6737
7920.0,0.6852
7930.0,0.6658
7940.0,0.6737
7950.0,0.5865
7960.0,0.594
7970.0,0.5781
7980.0,0.6075
7990.0,0.6462
8000.0,0.6545
8010.0,0.6555
8020.0,0.6771
8030.0,0.6706
8040.0,0.6522
8050.0,1.0182
8060.0,1.0249
8070.0,0.6174
8080.0,1.0309
8090.0,1.023
8100.0,1.0138
8110.0,0.6974
8120.0,0.6873
8130.0,0.6181
8140.0,0.592
8150.0,0.5741
8160.0,0.6691
8170.0,0.683
8180.0,0.6864
8190.0,0.6972
8200.0,0.6896
8210.0,0.6657
8220.0,0.6813
8230.0,0.6617
8240.0,0.7012
8250.0,1.0408
8260.0,0.7342
8270.0,0.7405
8280.0,0.7289
8290.0,0.6808
8300.0,0.6823
8310.0,0.6757
8320.0,0.9549
8330.0,0.8019
8340.0,0.8161
8350.0,0.9506
8360.0,0.943
8370.0,0.9572
8380.0,0.6764
8390.0,0.6842
8400.0,0.9748
8410.0,0.6305
8420.0,1.0346
8430.0,1.0241
8440.0,0.9036
8450.0,0.9508
8460.0,0.9591
8470.0,0.8948
8480.0,0.9017
8490.0,0.964
8500.0,0.907
8510.0,0.8969
8520.0,0.9066
8530.0,0.7035
8540.0,0.7148
8550.0,0.8624
8560.0,0.8522
8570.0,0.7004
8580.0,0.7043
8590.0,0.7145
8600.0,0.7482
8610.0,0.7298
8620.0,0.7156
8630.0,0.7267
8640.0,0.7215
8650.0,0.7164
8660.0,0.7275
8670.0,0.5762
8680.0,0.5883
8690.0,0.7716
8700.0,0.7876
8710.0,0.7667
8720.0,0.7581
8730.0,0.7005
8740.0,0.7112
8750.0,0.7102
8760.0,0.8127
8770.0,0.7245
8780.0,0.7402
8790.0,0.8596
8800.0,0.8144
8810.0,0.7957
8820.0,1.0628
8830.0,1.0565
8840.0,0.8023
8850.0,0.6853
8860.0,0.699
8870.0,0.6796
8880.0,0.7012
8890.0,0.9134
8900.0,0.95
8910.0,0.8889
8920.0,0.9103
8930.0,0.9234
8940.0,1.0118
8950.0,0.7813
8960.0,0.7689
8970.0,1.0518
8980.0,0.82
8990.0,0.7865
9000.0,1.0116
9010.0,0.8742
9020.0,1.0186
9030.0,1.007
9040.0,0.8677
9050.0,0.5096
9060.0,0.9034
9070.0,0.5032
9080.0,0.9321
9090.0,0.8011
9100.0,0.7919
9110.0,0.7715
9120.0,0.9838
9130.0,0.7591
9140.0,0.7593
9150.0,0.9346
9160.0,0.9429
9170.0,0.9372
9180.0,1.0159
9190.0,1.0586
9200.0,1.1071
9210.0,1.065
9220.0,1.0013
9230.0,0.7235
9240.0,0.9306
9250.0,0.6534
9260.0,0.6325
9270.0,0.7918
9280.0,0.6276
9290.0,0.6094
9300.0,0.8926
9310.0,0.8508
9320.0,0.8334
9330.0,0.7913
9340.0,0.8159
9350.0,0.782
9360.0,0.6504
9370.0,0.6939
9380.0,0.6542
9390.0,0.6281
9400.0,0.6697
9410.0,0.6756
9420.0,0.7073
9430.0,0.5754
9440.0,0.6149
9450.0,0.5903
9460.0,0.6778
9470.0,0.6809
9480.0,0.7125
9490.0,0.7222
9500.0,0.604
9510.0,0.6347
9520.0,0.6567
9530.0,0.6398
9540.0,0.5314
9550.0,0.6397
9560.0,0.6134
9570.0,0.6202
9580.0,0.6363
9590.0,0.5331
9600.0,0.6386
9610.0,0.6511
9620.0,0.767
9630.0,0.7619
9640.0,1.1815
9650.0,1.1995
9660.0,1.2316
9670.0,1.2568
9680.0,1.2256
9690.0,0.8106
9700.0,0.8322
9710.0,0.8158
9720.0,1.184
9730.0,0.6231
9740.0,0.6125
9750.0,0.8761
9760.0,0.8633
9770.0,0.8435
9780.0,0.8187
9790.0,0.8544
9800.0,0.85
9810.0,0.5752
9820.0,0.5715
9830.0,0.7488
9840.0,0.5647
9850.0,0.5871
9860.0,0.6052
9870.0,0.6065
9880.0,0.8087
9890.0,0.8031
